address,f1_contract_creation_time,f2_transaction_fee_spent_contract_creation,f3_percentage_gas_used_contract_creation,f4_gas_price_contract_creation,f5_first_contract_invoke_time,f6_last_contract_invoke_time,f7_active_duration,f8_total_invocations,f9_total_unique_invocations,f10_avg_gas_used_contract_invocations,f11_total_gas_price_contract_invocations,f12_avg_gas_price_contract_invocations,f13_total_tx_fee_contract_invocations,f14_avg_tx_fee_contract_invocations,f15_total_ether_contract_invocations,f16_average_ether_contract_invocations,f17_total_gas_used_contract_invocations,f18_avg_gas_used_contract_invocations,class
0xe5caef4af8780e59df925470b050fb23c43ca68c,1564453764,1595748,100.0,6000000000,1564468761,1574564864,10096103,9999,2972,36953.0,123477272323943,12348962128.0,617677833,61773.0,6960000000000000000,696069606960696,369499768,36953.0,1
0xe6b39dad6d7a50b233da23e510697422e9d6351a,1520392149,1338923,100.0,2000000000,1520394545,1520394545,0,1,2,45640.0,4000000000,4000000000.0,250000,250000.0,0,0,45640,45640.0,1
0xe6c51d563f92a23dee9a7093bb1be33bd35c05d8,1519221222,1338643,100.0,2000000000,1519831196,1531090580,11259384,4,4,46635.0,21000000000,5250000000.0,803914,200978.0,0,0,186543,46635.0,1
0xe6d3486a5fe2742e313a3266af8ff4f43e597d27,1519210076,1338067,100.0,2000000000,1519830781,1529614678,9783897,5,4,46411.0,18000000000,3600000000.0,1053914,210782.0,0,0,232055,46411.0,1
0xe7860fd151cbbad28141dfd4cc7cd6d090e4ead8,1542321221,1745103,100.0,41000000000,1542321539,1542352670,31131,8,8,57106.0,1560000000000,195000000000.0,1175624,146953.0,33851432395023064427,4231429049377883053,456848,57106.0,1
0xe824ec0f8384600f3187967f8b098014e31892f2,1520116598,1338067,100.0,1000000000,1520267418,1531088254,10820836,6,5,44851.0,51000000000,8500000000.0,1090327,181721.0,0,0,269108,44851.0,1
0xe8868e87aaa4a0d0751691f9f33b0e5da7127039,1522421277,2651361,100.0,10000000000,1522422840,1585192092,62769252,2903,2462,69160.0,8112368003915,2794477438.0,265480233,91450.0,1989759531010003,685414926286,200772351,69160.0,1
0xe91843ed2071f12cb4d3189742d40668a6ab789d,1611624536,2960782,100.0,70000000000,1611624705,1637422719,25798014,45,26,42454.0,3703180707533,82292904611.0,2919705,64882.0,0,0,1910467,42454.0,1
0xe9ab68e4aa12bf290529626e5f32725cf5abfba8,1520116791,1338667,100.0,1000000000,1520267465,1531088302,10820837,5,4,46500.0,31000000000,6200000000.0,1054042,210808.0,0,0,232503,46500.0,1
0xe9e837881c89e943c4c66e26031922bf8fc3f4f3,1520436389,1338131,100.0,2000000000,1520788841,1520788841,0,1,2,45576.0,4000000000,4000000000.0,250000,250000.0,0,0,45576,45576.0,1
0xe9ee84b3b818b2af67c4536248fbfc5c7a0ccfad,1519220816,1338515,100.0,2000000000,1519831173,1531090657,11259484,4,4,46619.0,21000000000,5250000000.0,803914,200978.0,0,0,186479,46619.0,1
0xea582df503a868b0222da3c849e836b6334e1ef4,1569964820,400000,82.75175,11900000000,1572841018,1641800904,68959886,27,2,35612.0,2411334795038,89308696112.0,2800000,103703.0,0,0,961537,35612.0,1
0xea7e05cb00b2430b486a2b866d4bb8adcf0eba64,1560354158,1745359,100.0,4500000000,1560354585,1569365807,9011222,14,10,52425.0,138568681420,9897762958.0,907042,64788.0,20680069995000000000,1477147856785714285,733961,52425.0,1
0xeb411d5df13ac7020992306e78955fb7cba5f260,1556613255,1744591,100.0,4000000000,1556613454,1556810444,196990,9,8,53873.0,77775000000,8641666666.0,571800,63533.0,2426631855500000000,269625761722222222,484857,53873.0,1
0xeda0785ebbba90bf1ac4a1cc07fbf9c9452c0db8,1635863922,983368,100.0,196319198990,1635867105,1635885315,18210,10,2,45901.0,2014092365369,201409236536.0,700239,70023.0,0,0,459018,45901.0,1
0xedc702ed96accae315a0f1e8fa2d5a6bc4feea69,1528726552,2005474,100.0,3000000000,1528727109,1528957705,230596,37,12,43902.0,528000000000,14270270270.0,3551035,95973.0,105729000000000000000,2857540540540540540,1624388,43902.0,1
0xeead01fc953aea34212d56014aa61ead16e76d4d,1544986537,936678,100.0,100000000000,1545003342,1547352279,2348937,29,15,48030.0,1004996250000,34655043103.0,2766082,95382.0,1782608276080000000,61469250899310344,1392879,48030.0,1
0xf0a924661b0263e5ce12756d07f45b8668c53380,1500915704,1454332,83.33331041330315,20000000000,1500916144,1530174866,29258722,704,467,101415.0,17245812369803,24496892570.0,143676145,204085.0,1213887393874270060501,1724271866298679063,71396780,101415.0,1
0xf1014a29614b196d19d8ecd5ff05f3cef5efdbe2,1520374793,1338387,100.0,2000000000,1520378319,1520378319,0,1,2,45576.0,4000000000,4000000000.0,250000,250000.0,0,0,45576,45576.0,1
0xf193a9afb00715aacf7ca9ebffafe02c77517c2e,1540941173,1267632,100.0,5000000000,1541107341,1596607961,55500620,21,3,45826.0,213940000256,10187619059.0,2391980,113903.0,0,0,962354,45826.0,1
0xf245e09a1b42f847b120558f0c6e08f821be23f7,1520110205,1338643,100.0,1000000000,1520267199,1529608732,9341533,6,5,46271.0,25000000000,4166666666.0,1272989,212164.0,0,0,277631,46271.0,1
0xf2601c5a063c6a6ca86d8b6bd0543158f83a10ce,1519052181,1338299,100.0,2000000000,1519752085,1531089438,11337353,7,4,43128.0,31000000000,4428571428.0,1440455,205779.0,0,0,301897,43128.0,1
0xf2bad87c0d0ea8bda69c722368df4f79d92ee6c9,1520776757,928299,100.0,3000000000,1520781159,1582918355,62137196,680,542,52367.0,3585825749888,5273273161.0,51042372,75062.0,624261911810999999,918032223251470,35609846,52367.0,1
0xf2effc1cd320ff062bae8649d150dbea3cb6b189,1540921161,1753158,100.0,5000000000,1540923931,1616023867,75099936,68,8,49694.0,582771191296,8570164577.0,9685534,142434.0,0,0,3379203,49694.0,1
0xf31b4f7550833a746f788b36f2b292e5fa49a248,1540997596,612055,100.0,60000000000,1541015855,1569674713,28658858,26,16,49562.0,906300000000,34857692307.0,2128956,81882.0,3114000000000000000,119769230769230769,1288628,49562.0,1
0xf689bb4b063683a9ffd7a9295106f1e47c095809,1520374558,1338067,100.0,2000000000,1520378423,1530058461,9680038,7,3,43460.0,14000000000,2000000000.0,1490000,212857.0,0,0,304224,43460.0,1
0xf8c3527cc04340b208c854e985240c02f7b7793f,1599843287,8000000,13.965075,300000000000,1599843629,1605537622,5693993,9999,3921,39760.0,1566799919155424,156695661481.0,775943112,77602.0,37177120510500000000,3718083859435943,397569450,39760.0,1
0xf8d270220168620afd771e1bdb592e116cc8df19,1605674968,542806,100.0,89000000000,1605677346,1606115336,437990,88,13,197747.0,5173695683022,58791996397.0,25555952,290408.0,650585144885805647241,7393013010065973264,17401791,197747.0,1
0xf8f04b23dace12841343ecf0e06124354515cc42,1540656465,684451,100.0,4000000000,1540657696,1540744814,87118,348,98,91725.0,3938200000000,11316666666.0,95773185,275210.0,168955575084143895026,485504526103861767,31920639,91725.0,1
0xf91446ead6aadd4321602b5790a6db4d6f2a1930,1536514651,1495148,100.0,4000000000,1536553960,1536553960,0,1,2,62104.0,3000000000,3000000000.0,62104,62104.0,200000000000000,200000000000000,62104,62104.0,1
0xfad05ee13c8e0ec94e5ee9dc056dc451b2ad6b1d,1535822905,1317315,100.0,5000000000,1535833841,1636023110,100189269,816,126,43710.0,6685593794575,8193129650.0,104854290,128497.0,496988330000000000000,609054325980392156,35667978,43710.0,1
0xfb5c7aa982ebced4384eec4d5e732a28759ebdf8,1613217495,407167,100.0,140000000000,1613829187,1614883856,1054669,3,2,36493.0,435935001728,145311667242.0,232711,77570.0,0,0,109479,36493.0,1
0xfb6e71e0800bccc0db8a9cf326fe3213ca1a0ea0,1529228634,500048,100.0,1000000000,1529278381,1555110447,25832066,3,4,21966.0,12000000000,4000000000.0,106968,35656.0,1001000000000000000,333666666666666666,65899,21966.0,1
0xfe75aee72700ff0e0742c00d12acf2724827fa00,1607558032,1304042,100.0,41000000000,1607558105,1607561101,2996,8,7,43465.0,323081431885,40385178985.0,397484,49685.0,0,0,347723,43465.0,1
0xff35866acb80ce4b169d1460cd48108955c1c445,1520437336,1338603,100.0,2000000000,1520943011,1582740769,61797758,2,3,33343.0,26000000000,13000000000.0,282000,141000.0,0,0,66686,33343.0,1
0xff7c3b7f4e4260097a33c9dcc291b9d1baf2edb5,1602727752,751305,100.0,42000000000,1602727771,1604031114,1303343,52,27,78353.0,3087550012943,59375961787.0,5989874,115189.0,0,0,4074386,78353.0,1
